ID,Feature,Area,Route,User Story,Expected Behaviour,Status,Test Result,Errors Found,Fix Applied,Re-test Result
AUTH-01,Email Sign In,Auth,/auth/sign-in,"As a user, I want to sign in with email and password, so that I can access my account","Page mounts SignInForm component. Form validates email+password, calls signIn() from useAuth. On success: redirects to dashboard or ?redirect param. On error: displays inline error message.","Implemented","pending","","",""
AUTH-02,Email Sign Up,Auth,/auth/sign-up,"As a new user, I want to create an account with email+password+name, so that I can start studying","Page renders sign-up form with name/email/password fields. Validates minLength 8 password. Calls signUp(email,password,name) from useAuth. Supports ?ref referral code via POST /api/referral/claim. Shows Google OAuth as alternative.","Implemented","pending","","",""
AUTH-03,Google OAuth,Auth,/auth/sign-up,"As a user, I want to sign in/up with Google, so that I can skip password entry","Google button calls signInWithGoogle() on sign-in and sign-up pages. Redirects to Google OAuth flow. On success: navigates to dashboard or redirect param.","Implemented","pending","","",""
AUTH-04,Email Verification,Auth,/auth/verify-email,"As a new user, I want to verify my email address, so that I can activate my account","Page reads userId+secret from searchParams. Automatically fires POST /api/auth/verify-email on mount. Shows success state with SparklesIcon or error message. Invalidates react-query cache on success.","Implemented","pending","","",""
AUTH-05,Forgot Password,Auth,/auth/forgot-password,"As a user, I want to request a password reset email, so that I can regain access","Form collects email, POST /api/auth/forgot-password. On submit: always shows success state (no user enumeration). Shows check-email state with SparklesIcon. Links back to sign-in.","Implemented","pending","","",""
AUTH-06,Reset Password,Auth,/auth/reset-password,"As a user, I want to set a new password using a reset link, so that I can regain access","Page reads userId+secret from searchParams. Shows error if missing. Form collects new password + confirm. Validates match + minLength 8. POST /api/auth/reset-password. On success: auto-redirects to /auth/sign-in after 2s timeout. Shows error messages inline.","Implemented","pending","","",""
HOME-01,Marketing Landing Page,Home,/[locale],"As a visitor, I want to see the Lumni marketing homepage, so that I can learn about the app","Server component renders HomeContent + SiteFooter with SEO metadata (title, description, openGraph, JSON-LD structured data for WebApplication + EducationalAudience).","Implemented","pending","","",""
DASH-01,Dashboard Tab Navigation,Dashboard,/dashboard,"As a student, I want to navigate dashboard tabs (Today/Progress/Exams/etc.), so that I can see different views","DashboardClient renders TabNav with tab values. Active tab state managed via useState. Dynamic content switching per tab.","Implemented","pending","","",""
DASH-02,Quick Quiz Start,Dashboard,/dashboard,"As a student, I want to start a quick quiz from dashboard, so that I can practice without navigating to /quiz","handleStartQuiz calls trackQuizStart, then uses startViewTransition to set quizActive=true. Renders QuizView inline on dashboard.","Implemented","pending","","",""
DASH-03,Today Focus Card,Dashboard,/dashboard,"As a student, I want to see my focus items for today, so that I know what to study next","Dashboard content renders TodayFocusCard with today's tasks, animated progress bar.","Implemented","pending","","",""
DASH-04,Streak Tracking Card,Dashboard,/dashboard,"As a student, I want to see my study streak, so that I stay motivated to study daily","StreakCard displays current streak count with animated progress. Uses useGamification to get currentStreak. tabular-nums for numbers.","Implemented","pending","","",""
DASH-05,Daily Bolt Challenge,Dashboard,/dashboard,"As a student, I want to do a daily 5-question challenge, so that I can earn bonus XP","DailyBoltOverlay shows DailyBolt UI. 5 questions. On finish: BoltCelebration with staggered entrance + pulsing glow. 'Practice more' button navigates to /quiz.","Implemented","pending","","",""
DASH-06,Search Widget,Dashboard,/dashboard,"As a student, I want to search across all my content from the dashboard, so that I can quickly find what I need","SearchWidget renders on dashboard. Opens inline search overlay. Filters across Dexie tables (questions, wrongAnswers, flashcards, notes) via chunked-search.","Implemented","pending","","",""
DASH-07,Gamification UI,Dashboard,/dashboard,"As a student, I want to see my XP, level, achievements and reward chests, so that I feel rewarded for studying","useGamification hook provides isLoaded, addXp, updateStreak, checkAndUnlockAchievements, checkForRewardChests, currentStreak, levelInfo, totalQuestionsAnswered. Dashboard displays these.","Implemented","pending","","",""
DASH-08,Wrong Answer Processing,Dashboard,/dashboard,"System: after a quiz, I want wrong answers recorded and flashcards created, so that the student can review mistakes","processQuizResult function called after quiz completion. Adds wrong answers to journal. Creates SM-2 flashcards for wrong answers. Updates competency tracking.","Implemented","pending","","",""
DASH-09,Next-Best-Action Card,Dashboard,/dashboard,"As a student, I want to see a personalised suggestion of what to study next, so that I make efficient use of study time","Dashboard shows a suggestion card: time-of-day-aware, weakest-topic-first, 24h-dismiss cooldown. Includes TopicGraph mini-graph.","Implemented","pending","","",""
DASH-10,Learning Map Card,Dashboard,/dashboard,"As a student, I want to see a knowledge graph of topic dependencies, so that I understand prerequisite relationships","LearningMapCard renders SVG topic graph with prerequisite/core/advanced rows. Data from GET /api/engine/knowledge-graph via react-query.","Implemented","pending","","",""
DASH-11,Exam Browse Dashboard,Dashboard,/dashboard/exams,"As a student, I want to browse and filter available exams, so that I can find exams to practice","ExamsBrowse component lists exam papers with filters. Links to /exam/[id] for each.","Implemented","pending","","",""
QUIZ-01,Generate Quiz by Subject,Quiz,/quiz,"As a student, I want to start a quiz on a specific subject, so that I can practice that subject","QuizClient reads ?subject from searchParams. Passes to QuizView component. Creates questions via QuestionEngine API. Shows question cards sequentially.","Implemented","pending","","",""
QUIZ-02,Generate Quiz by Topic,Quiz,/quiz,"As a student, I want to generate a quiz on a specific topic, so that I can focus on weak areas","QuizClient reads ?topic param. Weakest topic auto-selected when none specified via cross-topic awareness in competency mapper.","Implemented","pending","","",""
QUIZ-03,Past Paper Mode,Quiz,/quiz,"As a student, I want to attempt past exam paper questions, so that I can practice exam-style questions","QuizClient reads ?pastPaperMode=true. Switches to exam-style question format and scoring.","Implemented","pending","","",""
QUIZ-04,Offline Quiz Pack Mode,Quiz,/quiz,"As a student, I want to take a quiz from a downloaded offline pack, so that I can study without internet","QuizClient reads ?packId param. Loads questions from sessionStorage. No AI generation needed.","Implemented","pending","","",""
QUIZ-05,MCQ Question Answering,Quiz,/quiz,"As a student, I want to answer multiple-choice questions by selecting an option, so that I can test my knowledge","QuestionCardInput renders MCQ options grid with animations + TTS. Click selects answer. Animated feedback on correctness.","Implemented","pending","","",""
QUIZ-06,Calculation with Working,Quiz,/quiz,"As a student, I want to show my working for calculation questions, so that I can get partial credit","Calculation question type shows a textarea for working steps. aria-expanded + aria-controls on toggle.","Implemented","pending","","",""
QUIZ-07,Get Hint,Quiz,/quiz,"As a student, I want to get a hint for a question I'm stuck on, so that I can make progress without seeing the full answer","Hint button calls POST /api/engine/hint. Displays hint text in QuestionCardFeedback.","Implemented","pending","","",""
QUIZ-08,Question RAG Sources,Quiz,/quiz,"As a student, I want to see web sources used to generate a question, so that I can verify the information","SourceAttributionPill renders on QuestionCardFeedback. Shows up to 2 sources with +N more. Truncated with aria-label. Uses CheckmarkCircle01Icon.","Implemented","pending","","",""
QUIZ-09,Quiz Grading,Quiz,/quiz,"As a student, I want my quiz answers graded, so that I know my score","POST /api/engine/grade called per question. Returns GradingResult with score and feedback.","Implemented","pending","","",""
QUIZ-10,Quiz Results,Quiz,/quiz,"As a student, I want to see my quiz results, so that I can review my performance","QuizResultsCard shows score summary (correct/total, percentage, elapsed time). Per-question expand/collapse review. VerifiedByPill for sources.","Implemented","pending","","",""
QUIZ-11,Review Mistakes from Quiz,Quiz,/quiz,"As a student, I want to review and practice questions I got wrong, so that I can learn from my mistakes","After quiz results, 'Practice these topics' button links to /quiz?subject=X&topic=Y&count=10. Wrong answers also create SM-2 flashcards.","Implemented","pending","","",""
QUIZ-12,Immersive Mode,Quiz,/quiz,"As a student, I want to take a quiz full-screen without navigation, so that I can focus completely","QuizView sets immersive mode via useImmersiveMode when session is active. Nav bars hidden. Exit button pill top-right.","Implemented","pending","","",""
QUIZ-13,Bookmark Question,Quiz,/quiz,"As a student, I want to bookmark a question during a quiz, so that I can review it later","Bookmark button on each question card. Saves to Dexie bookmarks table.","Implemented","pending","","",""
EXAM-01,Browse Exam Papers,Exam,/past-papers,"As a student, I want to browse past exam papers by subject, so that I can choose one to practice","SubjectSelect dropdown. Fetches papers from /api/exams. Displays paper cards with subject, year, period, marks. Links to /exam/[id].","Implemented","pending","","",""
EXAM-02,Start Exam Session,Exam,/exam/[id],"As a student, I want to start an exam in practice/timed/mock mode, so that I can simulate exam conditions","ExamSessionWithResume reads ?mode param (practice|timed|mock). Creates/loads exam session. Shows questions with timer if timed/mock.","Implemented","pending","","",""
EXAM-03,Answer Exam Questions,Exam,/exam/[id],"As a student, I want to answer questions during an exam session, so that I can complete the paper","Question cards displayed sequentially. MCQ, short-answer, calculation types available. Progress indicator.","Implemented","pending","","",""
EXAM-04,Submit Exam and Score,Exam,/exam/[id],"As a student, I want to submit my completed exam and see my score, so that I can assess my performance","On submission: graded via API. Score displayed with breakdown. Per-question expand/collapse review.","Implemented","pending","","",""
EXAM-05,Exam Competency Tracking,Exam,/exam/[id],"As a student, I want my exam performance tracked per section, so that I can see which sections I need to improve","trackQuestionResult called per question. Competency key extended to topicId:paperId for per-paper split.","Implemented","pending","","",""
EXAM-06,Upload QA Files,Exam,/upload,"As an admin, I want to upload JSON question files, so that I can add questions to the database","UploadButton using UploadThing endpoint qaUploader. On upload: auto-detects subject from filename. Triggers sync to Appwrite. Shows sync status. Seed database button also available.","Implemented","pending","","",""
FLASH-01,Flashcard Session Start,Flashcards,/flashcards,"As a student, I want to start a flashcard session by subject, so that I can review flashcards","FlashcardsClient shows subject selector, source picker (ai|mistakes|vocabulary). On start: loads deck cards via flashcardEngine.","Implemented","pending","","",""
FLASH-02,AI-Generated Flashcards,Flashcards,/flashcards,"As a student, I want to generate flashcards from my study material, so that I can create study aids quickly","source='ai': generates questions/answers via QuestionEngine. Creates SM-2 cards.","Implemented","pending","","",""
FLASH-03,Review Mistakes Flashcards,Flashcards,/flashcards,"As a student, I want to review flashcards created from my wrong answers, so that I can learn from mistakes","source='mistakes': loads wrong-answer journal as flashcard session. Cards created during quiz result processing.","Implemented","pending","","",""
FLASH-04,Swipeable Card Deck,Flashcards,/flashcards,"As a student, I want to swipe through flashcards like Tinder, so that studying feels more engaging","SwipeableCardDeck renders 3-card cascade with framer-motion drag='x'. Colored overlay feedback on drag. Spring-back below threshold. Exit animation on swipe.","Implemented","pending","","",""
FLASH-05,SM-2 Quality Rating,Flashcards,/flashcards,"As a student, I want to rate my recall quality after each flashcard, so that spaced repetition schedules reviews optimally","QualityPicker overlay after swipe. 6 quality levels (3 correct/3 incorrect). Auto-advances after 1.5s. Undo support. mode='sm2'.","Implemented","pending","","",""
FLASH-06,Flippable Card,Flashcards,/flashcards,"As a student, I want to tap a card to reveal the answer, so that I can test my memory before swiping","SwipeableCard supports tap-to-flip animation. Front shows question, back shows answer.","Implemented","pending","","",""
FLASH-07,Browse All Flashcards,Flashcards,/flashcards/browse,"As a student, I want to browse all my flashcards, so that I can manage my collection","FlashcardBrowseClient lists all flashcards. Search/filter functionality.","Implemented","pending","","",""
FLASH-08,Create Custom Flashcard,Flashcards,/tools/flashcards/new,"As a student, I want to create my own flashcard, so that I can study custom content","FlashcardCreator form: front text, back text, topic, subject selector. Saves to Dexie flashcards table.","Implemented","pending","","",""
FLASH-09,Share Flashcard Deck,Flashcards,/flashcards,"As a student, I want to share my flashcard deck with others, so that we can study together","shareFlashcardDeck function generates share link. POST to /api/share/deck.","Implemented","pending","","",""
STUDY-01,Browse Subjects,Study,/study,"As a student, I want to browse available subjects, so that I can choose what to study","StudyBrowserClient lists subjects. Each subject expandable to show topics.","Implemented","pending","","",""
STUDY-02,Browse Topic Content,Study,/study/[subjectId]/[topicId]/[subtopicId],"As a student, I want to view detailed content for a topic, so that I can study the material","Deep-study page shows lesson content for the specific subject/topic/subtopic hierarchy.","Implemented","pending","","",""
STUDY-03,Generate Study Plan,Study,/study-plan,"As a student, I want to generate a study plan based on my competency gaps, so that I can schedule my revision","StudyPlanner shows Generate Plan button with inline form (target APS, daily minutes). Uses round-robin inverse-competency-weighted scheduling. Generates StudySession[] persisted to Dexie studyPlans.","Implemented","pending","","",""
STUDY-04,Study Plan Calendar View,Study,/study-plan,"As a student, I want to view my study plan as a calendar, so that I can see my schedule at a glance","Month grid with session dots. Native drag-to-reschedule support.","Implemented","pending","","",""
